ticker,first_date,last_date,n_days,n_adjustments,min_adj_factor,n_missing_close,n_missing_inst,adjustment_method,adjustment_verified
2903,2014-01-02,2025-03-31,2742,12,0.5510736931289815,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2905,2014-01-02,2025-03-31,2742,12,0.5085693386319524,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2906,2014-01-02,2025-03-31,2742,12,0.6463998712309815,0,573,backward from TaiwanStockDividendResult before/after reference price,True
2908,2014-01-02,2025-03-31,2742,12,0.5605712778752997,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2910,2014-01-02,2025-03-31,2741,8,0.8456159925092747,261,1358,backward from TaiwanStockDividendResult before/after reference price,True
2911,2014-01-02,2025-03-31,2728,3,1.0,0,346,backward from TaiwanStockDividendResult before/after reference price,True
2912,2014-01-02,2025-03-31,2742,12,0.6565504097032239,1,312,backward from TaiwanStockDividendResult before/after reference price,True
2913,2014-01-02,2025-03-31,2742,6,0.8363932861768898,0,311,backward from TaiwanStockDividendResult before/after reference price,True
2915,2014-01-02,2025-03-31,2735,15,0.5188204589100807,0,311,backward from TaiwanStockDividendResult before/after reference price,True
3010,2014-01-02,2025-03-31,2742,12,0.49099940875945475,0,312,backward from TaiwanStockDividendResult before/after reference price,True
3028,2014-01-02,2025-03-31,2742,12,0.3981421063816478,0,328,backward from TaiwanStockDividendResult before/after reference price,True
3029,2014-01-02,2025-03-31,2742,13,0.489961389107142,0,321,backward from TaiwanStockDividendResult before/after reference price,True
3033,2014-01-02,2025-03-31,2742,13,0.3845206620964732,0,312,backward from TaiwanStockDividendResult before/after reference price,True
3036,2014-01-02,2025-03-31,2742,15,0.39385918240262974,4,315,backward from TaiwanStockDividendResult before/after reference price,True
3048,2014-01-02,2025-03-31,2742,11,0.3745074930869536,1,314,backward from TaiwanStockDividendResult before/after reference price,True
3054,2014-01-02,2025-03-31,2735,5,1.0,5,783,backward from TaiwanStockDividendResult before/after reference price,True
3055,2014-01-02,2025-03-31,2734,13,0.7925105133563857,1,331,backward from TaiwanStockDividendResult before/after reference price,True
3130,2014-01-02,2025-03-31,2742,12,0.5105644554266457,93,750,backward from TaiwanStockDividendResult before/after reference price,True
3557,2014-01-02,2025-03-31,2717,12,0.6542324828686849,1,573,backward from TaiwanStockDividendResult before/after reference price,True
3708,2016-08-31,2025-03-31,2090,9,0.7286752002830326,0,63,backward from TaiwanStockDividendResult before/after reference price,True
4536,2014-01-02,2025-03-31,2742,12,0.5932800610869959,0,364,backward from TaiwanStockDividendResult before/after reference price,True
4994,2014-01-02,2025-03-31,2735,10,0.7760613761267064,0,387,backward from TaiwanStockDividendResult before/after reference price,True
5203,2014-01-02,2025-03-31,2742,13,0.6030923806036467,0,315,backward from TaiwanStockDividendResult before/after reference price,True
5292,2020-01-07,2025-03-31,1267,2,0.7827028458720767,139,997,backward from TaiwanStockDividendResult before/after reference price,True
5306,2014-01-02,2025-03-31,2742,16,0.8443230227854052,3,2053,backward from TaiwanStockDividendResult before/after reference price,True
6112,2014-01-02,2025-03-31,2742,12,0.37834078885366174,0,390,backward from TaiwanStockDividendResult before/after reference price,True
6165,2014-01-02,2025-03-31,2732,3,0.9788172037957011,5,636,backward from TaiwanStockDividendResult before/after reference price,True
