ticker,name_short,sector,n_matches,n_articles,n_weeks_nonzero,first_match,last_match,share_code_match,share_weekend
1432,大魯閣,運動休閒,64,64,43,2015-05-12 21:37:47,2025-01-14 22:58:33,1.0,0.140625
1903,士紙,造紙,63,63,50,2015-06-28 01:14:33,2024-11-11 14:14:51,0.6984126984126984,0.09523809523809523
1582,信錦,電子零組件,63,63,52,2015-06-08 20:44:01,2024-09-27 10:41:47,0.8095238095238095,0.15873015873015872
2453,凌群,資訊服務,63,63,49,2015-06-10 17:05:01,2024-12-11 23:30:46,0.7777777777777778,0.09523809523809523
1736,喬山,運動休閒,60,60,47,2015-05-12 16:49:47,2024-11-29 09:00:13,1.0,0.15
1220,台榮,食品,60,60,34,2016-06-09 20:56:34,2024-12-20 23:25:43,0.9,0.06666666666666667
1413,宏洲,紡織,59,59,47,2015-06-17 11:42:30,2025-01-11 21:24:01,0.9322033898305084,0.01694915254237288
5306,桂盟,運動休閒,59,59,49,2015-05-12 21:37:47,2024-08-05 19:18:51,0.7627118644067796,0.11864406779661017
1219,福壽,食品,59,59,41,2015-06-03 13:32:53,2024-12-19 22:57:44,0.7457627118644068,0.06779661016949153
1783,和康生,生技,57,57,36,2015-05-29 21:13:51,2024-06-06 12:41:49,0.631578947368421,0.14035087719298245
1110,東泥,水泥,57,57,42,2015-05-13 06:36:04,2024-09-27 11:27:53,0.9122807017543859,0.10526315789473684
1786,科妍,生技,55,55,36,2015-09-30 17:24:41,2024-12-09 21:30:29,0.6909090909090909,0.07272727272727272
5203,訊連,資訊服務,55,55,51,2015-04-29 20:20:43,2024-07-22 10:38:54,0.6727272727272727,0.16363636363636364
2705,六福,觀光餐旅,55,55,38,2015-05-20 14:00:02,2024-09-28 07:22:20,1.0,0.10909090909090909
6873,泓德能源,綠能環保,55,55,36,2022-03-03 12:32:59,2024-12-29 21:39:09,0.5818181818181818,0.07272727272727272
3028,增你強,電子通路,54,54,42,2015-06-10 17:25:51,2024-12-26 17:47:53,0.5370370370370371,0.3148148148148148
1612,宏泰,電器電纜,54,54,43,2015-12-08 16:07:58,2024-08-07 14:48:12,0.6296296296296297,0.1111111111111111
1109,信大,水泥,52,52,40,2015-11-09 03:52:45,2024-09-23 11:38:20,1.0,0.09615384615384616
6670,復盛應用,運動休閒,51,51,46,2018-12-23 16:51:12,2025-01-01 01:26:39,0.6862745098039216,0.23529411764705882
9911,櫻花,居家生活,49,49,44,2015-04-30 17:52:42,2024-06-19 13:06:50,1.0,0.20408163265306123
6768,志強-KY,運動休閒,47,47,38,2016-09-19 18:12:56,2025-01-22 14:00:04,0.3617021276595745,0.19148936170212766
2722,夏都,觀光餐旅,47,47,33,2015-06-18 23:19:34,2025-01-17 14:00:02,0.5106382978723404,0.14893617021276595
2373,震旦行,其他電子,46,46,36,2015-05-05 20:54:51,2024-05-28 20:22:44,0.5869565217391305,0.3695652173913043
1604,聲寶,電器電纜,46,46,36,2015-05-11 15:35:21,2024-09-25 16:12:04,0.6304347826086957,0.13043478260869565
1338,廣華-KY,汽車,46,46,35,2015-05-22 22:29:34,2024-03-31 04:02:25,0.8478260869565217,0.08695652173913043
1714,和桐,化學,46,46,37,2015-05-11 16:12:24,2024-05-08 20:32:31,0.8260869565217391,0.13043478260869565
2101,南港,橡膠,45,45,40,2015-08-13 23:12:03,2024-11-29 11:19:03,1.0,0.044444444444444446
2702,華園,觀光餐旅,45,45,32,2015-07-25 12:34:29,2024-08-19 20:36:02,0.5555555555555556,0.1111111111111111
1525,江申,汽車,44,44,40,2015-05-06 15:57:00,2023-08-31 22:10:20,0.6590909090909091,0.18181818181818182
1713,國化,化學,43,43,39,2015-07-08 08:41:36,2025-01-11 21:24:01,0.37209302325581395,0.16279069767441862
1611,中電,電器電纜,43,43,27,2015-10-30 16:14:23,2024-06-25 12:21:26,1.0,0.18604651162790697
2427,三商電,資訊服務,43,43,36,2015-06-09 16:20:58,2024-11-14 22:55:25,0.6976744186046512,0.06976744186046512
2008,高興昌,鋼鐵,43,43,33,2015-05-29 21:13:51,2024-09-04 00:32:32,0.5813953488372093,0.13953488372093023
9934,成霖,居家生活,43,43,39,2016-07-20 17:34:28,2024-12-27 17:54:55,0.7674418604651163,0.18604651162790697
2430,燦坤,電子通路,42,42,37,2015-10-15 20:27:36,2024-09-07 01:00:57,1.0,0.14285714285714285
2913,農林,貿易百貨,42,42,35,2015-05-28 09:21:09,2025-01-21 13:39:52,1.0,0.16666666666666666
1417,嘉裕,紡織,41,41,36,2015-05-14 15:49:18,2024-03-26 23:49:12,0.8292682926829268,0.14634146341463414
1709,和益,化學,41,41,31,2016-06-27 23:13:22,2024-09-24 16:09:33,0.7317073170731707,0.24390243902439024
1526,日馳,電機機械,41,41,29,2015-11-05 16:30:49,2024-12-11 14:00:03,0.5365853658536586,0.12195121951219512
4994,傳奇,資訊服務,40,40,36,2015-05-06 16:21:00,2024-10-21 09:13:38,1.0,0.1
2905,三商,貿易百貨,40,40,35,2015-07-10 06:04:03,2024-11-14 22:55:25,1.0,0.025
