ticker,month,n_matches
1339,2021-02,1
1339,2021-12,1
1339,2022-05,1
1339,2022-07,1
1339,2023-01,1
1339,2023-09,2
1339,2024-05,1
1402,2015-04,1
1402,2015-05,6
1402,2015-06,6
1402,2015-07,2
1402,2015-08,8
1402,2015-09,6
1402,2015-10,1
1402,2015-11,1
1402,2015-12,4
1402,2016-01,5
1402,2016-02,5
1402,2016-03,1
1402,2016-04,2
1402,2016-05,2
1402,2016-06,3
1402,2016-07,4
1402,2016-10,2
1402,2016-12,2
1402,2017-04,1
1402,2017-05,1
1402,2017-06,1
1402,2017-07,3
1402,2017-12,1
1402,2018-01,1
1402,2018-02,1
1402,2018-03,1
1402,2018-04,2
1402,2018-05,4
1402,2018-06,3
1402,2018-07,5
1402,2018-08,9
1402,2018-09,5
1402,2018-10,5
1402,2018-11,4
1402,2018-12,8
1402,2019-01,10
1402,2019-02,2
1402,2019-03,4
1402,2019-04,6
1402,2019-05,1
1402,2019-06,4
1402,2019-07,3
1402,2019-08,1
1402,2019-09,6
1402,2019-10,2
1402,2019-11,3
1402,2019-12,1
1402,2020-01,2
1402,2020-02,2
1402,2020-03,6
1402,2020-04,10
1402,2020-05,8
1402,2020-06,1
1402,2020-07,9
1402,2020-08,5
1402,2020-09,5
1402,2020-11,4
1402,2020-12,2
1402,2021-01,3
1402,2021-03,4
1402,2021-04,6
1402,2021-05,10
1402,2021-07,1
1402,2021-08,4
1402,2021-09,1
1402,2021-10,2
1402,2021-11,2
1402,2021-12,4
1402,2022-01,3
1402,2022-02,7
1402,2022-03,8
1402,2022-04,3
1402,2022-05,9
1402,2022-06,14
1402,2022-07,16
1402,2022-08,20
1402,2022-09,14
1402,2022-10,15
1402,2022-11,4
1402,2022-12,7
1402,2023-01,1
1402,2023-02,4
1402,2023-03,3
1402,2023-05,2
1402,2023-06,3
1402,2023-08,4
1402,2023-09,5
1402,2023-10,9
1402,2023-11,16
1402,2023-12,11
1402,2024-01,2
1402,2024-02,1
1402,2024-03,2
1402,2024-04,3
1402,2024-05,9
1402,2024-06,11
1402,2024-07,4
1402,2024-08,4
1402,2024-09,2
1402,2024-10,5
1402,2024-11,8
1402,2024-12,7
1409,2015-04,1
1409,2015-05,3
1409,2015-08,1
1409,2016-03,1
1409,2017-10,2
1409,2017-12,1
1409,2018-06,3
1409,2018-07,3
1409,2018-08,2
1409,2018-10,1
1409,2018-11,1
1409,2018-12,3
1409,2019-01,1
1409,2019-03,1
1409,2019-04,2
1409,2019-05,1
1409,2019-10,1
1409,2019-11,1
1409,2020-01,1
1409,2020-02,2
1409,2020-04,1
1409,2020-05,3
1409,2020-07,1
1409,2020-12,2
1409,2021-03,5
1409,2021-04,13
1409,2021-05,8
1409,2021-06,1
1409,2021-07,3
1409,2021-08,4
1409,2021-09,1
